name;use;origin;substitutes;aromas;alt_names;alt_names_extra
Orbit;dual-purpose;NZL;;Sweet, Tropical Fruits;;
Orion;dual-purpose;GER;;;;
Otto Supreme;bittering;USA;;Stone Fruit, Tropical Fruits, Guava, Pineapple, Berry;;
Outeniqua;bittering;ZAF;;;;
Pacific Crest;aroma;USA;;;;
Pacific Gem;bittering;NZL;Belma, Bullion, Cluster, Galena, Magnum;Berry, Blackberry, Floral, Oak, Pepper, Pine;;
Pacific Jade;aroma;NZL;Cluster, Hallertauer Mittelfrüh, Saaz;Citrus, Herbal, Pepper, Spicy, Pepper;;Jade
Pacific Sunrise;bittering;NZL;;;;
Pacifica;aroma;NZL;Chinook, Hallertauer Mittelfrüh;Citrus, Floral, Hay, Honey, Marmalade, Orange;Pacific Hallertau;
Pahto;bittering;USA;;Herbal, Earthy, Clean, Smooth, Woody, Resinous, Fruity, Floral, Pleasant;HBC 682;
Palisade;aroma;USA;Glacier, Willamette;Apricot, Clean, Floral, Honey, Orange, Passion Fruit, Yogurt;;Palisades, Pallisade
Paradigm;aroma;USA;;;;
Patagonia Red;aroma;ARG;;Tropical Fruits, Sweet, Candy, Strawberry, Herbal, Spicy;LPX/AL001;AL001
Pekko;bittering;USA;Saaz, Azacca;Pleasant, Floral, Citrus, Mint, Herbal, Mild, Pineapple, Thyme, Cucumber, Sage ;;
Perle;dual-purpose;GER,USA;Cluster, Galena, Wakatu, Hallertauer Mittelfrüh, Northern Brewer;Earthy, Floral, Fruity, Herbal, Mint, Spicy, Stone Fruit;;Pearl, Pearle
Petham Golding;aroma;GBR;;;;
Petoskey;aroma;USA;;;;Petosky
Phoenix;dual-purpose;GBR;Challenger, East Kent Golding, Northdown;Chocolate, Floral, Molasses, Pine, Spicy, Molasses, Earthy, Woody;;
Pilgrim;dual-purpose;GBR;Challenger, Pioneer, Target;Berry, Citrus, Fruity, Grapefruit, Lemon, Pear, Spicy, Lemon, Herbal, Pineapple, Yogurt;;Pilgrin
Pilot;bittering;GBR;;;;
Pink Boots;dual-purpose;USA;;Citrus, Floral, Grassy, Tropical Fruits, Woody;;
Pioneer;dual-purpose;GBR;East Kent Golding, Yeoman, Herald, Omega;Cedar, Citrus, Herbal, Lemon, Grapefruit, Clean, Earthy;;
Pocket Talisman;aroma;USA;;;;
Polaris;dual-purpose;GER;Herkules;Menthol, Mint, Pineapple, Floral, Fruity, Spicy, Pine;;
Precoce de Bourgogne;aroma;FRA;;;;
Premiant;aroma;CZH;Saaz, Styrian Golding;Tea, Citrus, Lemon, Lime, Chocolate, Curry, Pepper, Jasmine, Lemongrass, Passion Fruit ;;
Pride of Kent;dual-purpose;GBR;;;;
Pride of Ringwood;bittering;AUS;Centennial, Cluster, Galena, Fuggle, East Kent Golding;Woody, Earthy, Herbal, Cedar, Oak, Spicy, Fruity, Citrus, Resinous, Floral;;
Progress;aroma;GBR;Golding, Fuggle;Grassy, Floral, Mint, Earthy, Honey, Black Currant, Fruity, Floral, Herbal;;
ProvOAK;aroma;USA;;;;
Puławski;dual-purpose;POL;;;;
Rakau;dual-purpose;NZL;Amarillo, Summit;Apricot, Fig, Fruity, Pine, Resin, Stone Fruit;AlphAroma;Raku, Rakua, AlphaAroma
Record;aroma;BEL;;;;
Red Earth;aroma;AUS;;Spice, Woody, Citrus, Earthy, Herbal, Pine, Floral, Resinous, Fruity, Grassy;;
Relax;aroma;GER;;;;
Riwaka;aroma;NZL;Calypso, Centennial, Citra, Saaz;Citrus, Grapefruit, Passion Fruit, Tropical Fruits;;Rikawa
Rubin;bittering;CZH;;;;
Saaz;aroma;CZH,USA;Lubelska, Sorachi Ace, Sterling, Tettnanger;Earthy, Floral, Herbal, Mild, Noble, Spicy;;Saazer, Saab, Saa, Sazz, Zatec, Zatecky, ŽPČ
Sabro;aroma;USA;;Cedar, Citrus, Coconut, Cream, Herbal, Mint, Stone Fruit, Tangerine, Tropical Fruits;HBC 438;Sabco, Sobro
Santiam;aroma;USA;Spalter, Spalter Select, Tettnanger, Citra;Floral, Spicy, Black Pepper, Herbal, Fruity, Resin, Citrus, Woody, Fresh, Green;;Santium
Saphir;aroma;GER;Hallertauer Mittelfrüh, Spalter Select;Floral, Fruity, Spicy, Tangerine, Juniper, Lemongrass, Bergamot, Strawberry, Black Tea;;Safir, Saphier, Saphire
Sasquatch;dual-purpose;CAN;;Floral, Lemon, Tangerine;;
Satus;bittering;USA;;;;
Saxon;aroma;GBR;;;;
Sequoia;aroma;USA;;Tropical Fruits, Mango, Pineapple, Citrus, Pine;HS-1228 ;
Serebrianka;aroma;RUS;;;;
Shinshuwase;aroma;JPN;;;;
Simcoe;dual-purpose;USA;Amarillo, Cascade, Centennial, Citra, Columbus, Magnum, Mosaic, Summit, XJA2/436;Apricot, Berry, Bubblegum, Citrus, Earthy, Fruity, Grapefruit, Passion Fruit, Pine;;Semcoe, Simceo, Simco, Sim
Sládek;aroma;CZH;Northern Brewer, Saaz;Fruity, Grapefruit, Noble, Passion Fruit, Peach, Citrus, Green, Cassis, Strawberry, Dill, Coffee;;Zladek
Smaragd;dual-purpose;GER;Hallertauer Mittelfrüh, Opal;Floral, Fruity, Spicy, Herbal, Liquorice, Thyme, Tarragon, Vegetal, Woody;;Smarged, Smargd
Smooth Cone;dual-purpose;NZL;;;;Smoothcone
Solero;aroma;GER;;Mango, Passion Fruit, Tropical Fruits;;
Sonnet;aroma;USA;;;;
Sorachi Ace;bittering;JPN;Admiral, Cascade, Southern Cross;Citrus, Dill, Herbal, Lemon, Tobacco, Woody;;Sorachie Ace, Soriachi Ace, Sorachi
Southern Aroma;aroma;ZAF;;Floral, Fruity, Spicy, Woody;;SA Aroma, S. Aroma
Southern Brewer;bittering;ZAF;Fuggle, Southern Promise;Earthy, Woody;;SA Brewer, S. Brewer
Southern Cross;dual-purpose;NZL;Sorachi Ace, Pacific Jade, Pacifica, Summit, Cascade, Chinook;Citrus, Lemon, Lime, Pine, Spicy, Tropical Fruits, Resin, Herbal, Earthy;;SA Cross, S. Cross
Southern Dawn;dual-purpose;ZAF;;Clean, Chamomile, Citrus, Fruity, Ginger, Herbal, Lemongrass, Quince, Plum, Spicy, Strawberry, Aromatic;;SA Dawn, S. Dawn
Southern Passion;aroma;ZAF;;Blackberry, Coconut, Floral, Guava, Melon, Passion Fruit, Berries, Black Currant, Tangerine, Grapefruit, Calendula, Woody;US4/78;SA Passion, S. Passion
Southern Promise;dual-purpose;ZAF;Southern Brewer;Berry, Citrus, Floral, Fruity, Herbal, Woody, Vegetal, Spicy, Earthy;;SA Promise, S. Promise
Southern Star;bittering;ZAF;Ekuanot, El Dorado, Mandarina Bavaria, Mosaic, Southern Cross, Warrior;Berry, Cassis, Citrus, Coffee, Floral, Orange, Passion Fruit, Pear, Pineapple, Rose, Tangerine, Tropical Fruits;;SA Star, S. Star
Southern Sublime;bittering;ZAF;;Pungent, Pineapple, Citrus, Mango, Plum, Grassy, Spicy, Woody, Resin;N1/69;SA Sublime, S. Sublime
Southern Tropic;aroma;ZAF;;Mango, Lychee, Passion Fruit, Guava, Pineapple, Bubblegum, Citrus, Lemongrass, Stone Fruit, Coconut, Pungent;95U1/108;SA Tropic, S. Tropic
Sovereign;bittering;GBR;;Earthy, Floral, Grassy, Herbal, Mint, Sweet, Fruity, Green Tea, Vanilla;;
Spalter;aroma;GER;Crystal, Hallertauer Mittelfrüh, Hersbrucker, Liberty, Mount Hood, Saaz, Santiam, Tettnanger, Ultra;Earthy, Floral, Herbal, Noble, Woody, Banana, Black Tea;;Spalt, Spal, Spaltz
Spalter Select;aroma;GER;Saaz, Spalter, Tettnanger;Thyme, Apple, Spicy, Herbal, Citrus, Peach, Cognac, Woody, Floral, Orange;;Select Spalt, Spalt Select, Select
Sterling;dual-purpose;USA;Lubelska, Saaz;Spicy, Citrus, Herbal, Floral, Noble;;
Sticklebract;dual-purpose;NZL;Hallertauer Mittelfrüh, Hersbrucker, Northern Brewer, Simcoe, Sorachi Ace;Citrus, Pine, Resinous, Fruity, Woody, Noble, Spicy, Pepper, Herbal, Fresh;;
Strata;aroma;USA;Galaxy, Mosaic;Cannabis, Grapefruit, Musty, Passion Fruit, Strawberry;X-331;Strada
Strisselspalt;aroma;FRA;;;;Strisselspalter
Styrian Cardinal;dual-purpose;SLO;;Anise, Apple, Citrus, Fruity, Gooseberry, Pineapple, Strawberry, Tropical Fruits;;Cardinal
Styrian Dragon;aroma;SLO;;Citrus, Grapefruit, Lime, Orange;;Dragon
Styrian Fox;dual-purpose;SLO;;Blackberry, Currant, Floral, Fruity, Honey, Lemongrass, Marjoram, Peach, Raspberry, Strawberry;;Fox
Styrian Golding;aroma;SLO;Bobek, Fuggle, Saaz, Styrian Golding, Willamette;Citrus, Earthy, Floral, Noble, Pine, Resin, Spicy, Sweet;Celeja, Celeia;Styrian Golding, Styrian Gold, Styrian Goldings, Celia
Styrian Kolibri;aroma;SLO;;Ananas, Blueberry, Currant, Ginger, Grassy, Lemon, Mandarin, Marjoram, Pepper, Spicy, Tangerine, Tea, Tomato;;Kolibri
Styrian Wolf;dual-purpose;SLO;;Mango, Melon, Tropical Fruits, Passion Fruit, Citrus, Strawberry, Raspberry, Blueberry, Fruity, Lemongrass;;Wolf
Sultana;dual-purpose;USA;Columbus, Nugget;Citrus, Lemon, Pine, Pineapple, Spicy, Tropical Fruits;Denali, Nuggetzilla, X06277;EXP 06277
Summer;aroma;AUS;Palisade, Saaz;Apricot, Citrus, Grassy, Melon, Passion Fruit, Peach, Stone Fruit, Fruity;;
Summit;bittering;USA;Amarillo, Cascade, Columbus, Millennium, Simcoe, Warrior;Anise, Citrus, Earthy, Grapefruit, Incense, Orange, Pepper, Tangerine;;
Sun;aroma;USA;Columbus, Galena, Magnum;Herbal;;
Sunbeam;aroma;USA;;;;
Sunshine;aroma;GBR;;;;
Super Pride;bittering;AUS;Pride of Ringwood, Yeoman;Resinous, Fruity, Mild, Spicy, Citrus;;
Sussex;aroma;GBR;;;;
Sybilla;dual-purpose;POL;Bobek, Lubelska, Magnum, Northern Brewer, Nugget, Perle;Chocolate, Citrus, Floral, Gingerbread, Lemon, Orange, Pine, Tobacco, Spicy, Herbal, Woody, Gingerbread, Hazelnut, Nougat;;
Sylva;aroma;AUS;Hallertauer Mittelfrüh, Helga, Northern Brewer, Saaz;Floral, Woody;;Sylvia
Symphony;bittering;;;;;
Tahoma;aroma;USA;Glacier, Cascade;Citrus, Spicy, Woody, Lemon, Fresh, Zesty, Earthy, Herbal;;
Taiheke;dual-purpose;NZL;Citra, Amarillo ;Citrus, Floral, Grapefruit, Lemon, Lime, Spicy, Tropical Fruits, Resin, Stone Fruit;;
Talisman;dual-purpose;USA;;;;
Talus;dual-purpose;USA;;Cream, Floral, Grapefruit, Pine, Stone Fruit, Woody;HBC 692;
Tangerine;aroma;USA;;Berry, Grapefruit, Herbal, Tropical Fruits;X09326;Experimental #09326
Tango;dual-purpose;GER;;Passion Fruit, Pineapple, Spicy, Citrus, Pineapple, Cassis, Earthy, Grapefruit, Lemon, Apple, Resin;;
Tardif de Bourgogne;aroma;FRA;;;;
Target;dual-purpose;GBR;East Kent Golding, Fuggle, Willamette;Citrus, Marmalade, Pepper, Sage, Spicy;;
Teamaker;aroma;;;;;
Tettnanger;aroma;GER;Hallertauer Mittelfrüh, Lubelska, Saaz, Spalter, Spalter Select, Tettnanger;Black Tea, Floral, Pepper, Spicy, Herbal;;Tennang, Tetnang, Tettanger, Tettnager, Tettnanger, Tettnang, German Tettnang, Tettnanger Aroma
Tettnanger A;aroma;GER;;;;
Tettnanger B;aroma;GER;;;;
The Bruce;dual-purpose;NZL;;;;Bruce
Tillicum;bittering;USA;;;;
TNT Blend;aroma;USA, GER;;Sweet, Berry, Citrus, Tropical Fruits, Strawberry, Spicy, Creamy, Caramel, Pomegranate, Fruity;;TNT, T'n'T Blend
Tolhurst;aroma;GBR;;;;
Tomyski;aroma;POL;;;Nowotomyski;
Topaz;aroma;AUS;Amarillo, Cascade, Citra, Galaxy, Rakau, Riwaka;Clove, Grassy, Lychee, Resin, Tropical Fruits;;
Toyomidori;bittering;JPN;;;;
Trident;dual-purpose;USA;;;;
Triple Pearl;dual-purpose;USA;Perle;Allspice, Anise, Citrus, Clove, Fruity, Melon, Pepper, Resin, Spicy;;
Triskel;aroma;FRA;Strisselspalt, Ahtanum, Centennial, Chinook, Simcoe;Floral, Sweet, Caramel, Fruity, Citrus, Resinous, Woody, Spicy, Pepper, Herbal;;
Triumph;aroma;USA;Hallertauer Mittelfrüh, Nugget;Citrus, Fruity, Lime, Orange, Peach, Pine, Spicy, Herbal, Bubblegum, Tropical Fruits;;
Tropica;aroma;USA;;Mandarin, Orange, Pineapple, Tropical Fruits;Mighty Axe Tropica;
Ultra;aroma;USA;;Floral, Spicy, Hay, Mild, Pleasant, Noble, Aromatic, Earthy;;
Universal;dual-purpose;CZH;;;;
Vanguard;aroma;USA;Hallertauer Mittelfrüh, Liberty, Mount Hood, Saaz;Woody, Cedar, Tobacco, Herbal, Spicy, Noble;;
Veterans Blend;dual-purpose;USA;;Citrus, Dank, Sweet, Tropical Fruits, Woody;;
Vic Secret;dual-purpose;AUS;Galaxy;Earthy, Herbal, Passion Fruit, Pine, Pineapple, Tropical Fruits;Victoria, Victoria’s Secret;Vic Secrel, Victoria Secret
Vienna Gold;dual-purpose;AUS;;;;
Viking;aroma;GBR;;;;
Vista;aroma;USA;;Melon, Tropical Fruits, Stone Fruit, Papaya, Tangerine, Pear, Green Tea;;
Vital;dual-purpose;CZH;;;;
Vojvodina;aroma;;;;;
Wai-iti;aroma;NZL;Riwaka;Apricot, Citrus, Lime, Mandarin, Peach, Spicy, Stone Fruit;;Wai-ti, Waiti
Waimea;dual-purpose;NZL;Pacific Jade;Citrus, Grapefruit, Herbal, Mandarin, Pine;;
Wakatu;dual-purpose;NZL;Hallertauer Mittelfrüh, Liberty, Nelson Sauvin;Woody, Citrus, Floral, Lime, Tropical Fruits;Hallertauer Aroma;Whakatu, Wakutu, NZ Hallertau Aroma, Hallertau Aroma, H Aroma
Warrior;bittering;USA;Columbus, Magnum, Nugget, Summit;Mild, Pine, Resin, Citrus, Spicy;;Warior, Warr, Warroir
Whitbread Golding;aroma;GBR;Fuggle;Liquorice, Guava, Apricot, Earthy, Mate Tea, Creamy, Caramel, Almond, Tea, Woody, Bergamot, Honeydew, Melon;WGV;Whitbread, Whitbread Golding Variety
Willamette;aroma;USA;East Kent Golding, Fuggle, Glacier, Styrian Golding;Caramel, Citrus, Curry, Elderberry, Floral, Incense;;Willamett, Willamatte, Williamette, Wilamette, Will
Willow Creek;dual-purpose;USA;;;;
Wuerttemberger;aroma;GER;;;;
XJA2/436;bittering;ZAF;;Bergamot, Citrus, Lemon, Candy, Papaya, Melon, Gooseberry, Resin, Zesty, Herbal;;Ja2/436, XJA/436, XJA
Yakima Cluster;bittering;USA;Chinook, Cluster;Earthy, Floral, Sweet, Fruity, Resinous, Citrus, Woody, Noble, Spicy, Pepper;;
Yakima Gold;dual-purpose;USA;Cluster;Grapefruit, Lemon;;
Yellow Sub;dual-purpose;GER;Amarillo;Apricot, Blackberry, Fruity, Orange, Sweet;Yellow Submarine;
Yeoman;dual-purpose;GBR;Target;;;
Zamba;aroma;USA;;Tropical Fruits, Tangerine, Stone Fruit, Pineapple, Mango, Candy, Orange, Sweet, Tangerine;HS-Zamba, Samba;
Zappa;aroma;USA;;Citrus, Fruity, Mango, Mint, Passion Fruit, Pine, Spicy, Tropical Fruits, Fresh;;
Zenia;dual-purpose;USA;;;;
Zenith;bittering;USA;Northern Brewer, Yeoman;Citrus, Floral;;
Zlatan;aroma;CZH;;;;
Zula;dual-purpose;POL;;Citrus, Clean, Fruity, Tropical Fruits;;
Zythos;aroma;USA;Amarillo, Cascade, Simcoe;Citrus, Floral, Grapefruit, Pine, Tangerine, Tropical Fruits;;
